XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo1a
alveo1b
alveo3c
alveo4b
alveo4c
alveo3b
alveo2b
alveo2a
alveo3c, device on u280. Finished loading bitstream
alveo3c, bytes:262144, num_elements:65536, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:262144, num_elements:65536, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:262144, num_elements:65536, num_trials:200
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:262144, num_elements:65536, num_trials:200
alveo4b, device on u280. Finished loading bitstream
alveo4b, bytes:262144, num_elements:65536, num_trials:200
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:262144, num_elements:65536, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:262144, num_elements:65536, num_trials:200
alveo1b, device on u250. Finished loading bitstream
alveo1b, bytes:262144, num_elements:65536, num_trials:200
Start All-gather test:
iteration:0, F2F_time[s]:0.002038, H2H_time:0.001296, sync_time:0.000743
iteration:1, F2F_time[s]:0.001248, H2H_time:0.000768, sync_time:0.000480
iteration:2, F2F_time[s]:0.001179, H2H_time:0.000773, sync_time:0.000406
iteration:3, F2F_time[s]:0.001205, H2H_time:0.000814, sync_time:0.000391
iteration:4, F2F_time[s]:0.001250, H2H_time:0.000845, sync_time:0.000405
iteration:5, F2F_time[s]:0.001211, H2H_time:0.000812, sync_time:0.000399
iteration:6, F2F_time[s]:0.001074, H2H_time:0.000692, sync_time:0.000382
iteration:7, F2F_time[s]:0.001128, H2H_time:0.000742, sync_time:0.000385
iteration:8, F2F_time[s]:0.001134, H2H_time:0.000749, sync_time:0.000385
iteration:9, F2F_time[s]:0.001155, H2H_time:0.000772, sync_time:0.000384
iteration:10, F2F_time[s]:0.001248, H2H_time:0.000769, sync_time:0.000479
iteration:11, F2F_time[s]:0.001267, H2H_time:0.000749, sync_time:0.000519
iteration:12, F2F_time[s]:0.001301, H2H_time:0.000787, sync_time:0.000514
iteration:13, F2F_time[s]:0.001235, H2H_time:0.000770, sync_time:0.000465
iteration:14, F2F_time[s]:0.001113, H2H_time:0.000627, sync_time:0.000485
iteration:15, F2F_time[s]:0.001171, H2H_time:0.000748, sync_time:0.000423
iteration:16, F2F_time[s]:0.000968, H2H_time:0.000625, sync_time:0.000343
iteration:17, F2F_time[s]:0.001137, H2H_time:0.000657, sync_time:0.000481
iteration:18, F2F_time[s]:0.001138, H2H_time:0.000714, sync_time:0.000425
iteration:19, F2F_time[s]:0.001100, H2H_time:0.000623, sync_time:0.000476
iteration:20, F2F_time[s]:0.001320, H2H_time:0.000754, sync_time:0.000566
iteration:21, F2F_time[s]:0.001118, H2H_time:0.000637, sync_time:0.000481
iteration:22, F2F_time[s]:0.001024, H2H_time:0.000596, sync_time:0.000428
iteration:23, F2F_time[s]:0.001097, H2H_time:0.000663, sync_time:0.000434
iteration:24, F2F_time[s]:0.001150, H2H_time:0.000599, sync_time:0.000551
iteration:25, F2F_time[s]:0.001186, H2H_time:0.000783, sync_time:0.000403
iteration:26, F2F_time[s]:0.001114, H2H_time:0.000754, sync_time:0.000360
iteration:27, F2F_time[s]:0.001048, H2H_time:0.000652, sync_time:0.000396
iteration:28, F2F_time[s]:0.001050, H2H_time:0.000653, sync_time:0.000398
iteration:29, F2F_time[s]:0.000945, H2H_time:0.000548, sync_time:0.000396
iteration:30, F2F_time[s]:0.001010, H2H_time:0.000538, sync_time:0.000472
iteration:31, F2F_time[s]:0.000873, H2H_time:0.000503, sync_time:0.000370
iteration:32, F2F_time[s]:0.000885, H2H_time:0.000512, sync_time:0.000372
iteration:33, F2F_time[s]:0.000936, H2H_time:0.000599, sync_time:0.000336
iteration:34, F2F_time[s]:0.001010, H2H_time:0.000636, sync_time:0.000374
iteration:35, F2F_time[s]:0.001044, H2H_time:0.000621, sync_time:0.000423
iteration:36, F2F_time[s]:0.001028, H2H_time:0.000640, sync_time:0.000388
iteration:37, F2F_time[s]:0.000994, H2H_time:0.000608, sync_time:0.000386
iteration:38, F2F_time[s]:0.001072, H2H_time:0.000704, sync_time:0.000368
iteration:39, F2F_time[s]:0.001019, H2H_time:0.000564, sync_time:0.000455
iteration:40, F2F_time[s]:0.000943, H2H_time:0.000554, sync_time:0.000389
iteration:41, F2F_time[s]:0.000919, H2H_time:0.000526, sync_time:0.000393
iteration:42, F2F_time[s]:0.001119, H2H_time:0.000728, sync_time:0.000392
iteration:43, F2F_time[s]:0.001106, H2H_time:0.000676, sync_time:0.000431
iteration:44, F2F_time[s]:0.001127, H2H_time:0.000748, sync_time:0.000379
iteration:45, F2F_time[s]:0.001039, H2H_time:0.000545, sync_time:0.000493
iteration:46, F2F_time[s]:0.001047, H2H_time:0.000632, sync_time:0.000416
iteration:47, F2F_time[s]:0.001022, H2H_time:0.000620, sync_time:0.000402
iteration:48, F2F_time[s]:0.001050, H2H_time:0.000666, sync_time:0.000383
iteration:49, F2F_time[s]:0.001053, H2H_time:0.000665, sync_time:0.000388
iteration:50, F2F_time[s]:0.001090, H2H_time:0.000643, sync_time:0.000447
iteration:51, F2F_time[s]:0.000969, H2H_time:0.000543, sync_time:0.000426
iteration:52, F2F_time[s]:0.000891, H2H_time:0.000534, sync_time:0.000357
iteration:53, F2F_time[s]:0.000992, H2H_time:0.000634, sync_time:0.000359
iteration:54, F2F_time[s]:0.000978, H2H_time:0.000578, sync_time:0.000399
iteration:55, F2F_time[s]:0.000897, H2H_time:0.000535, sync_time:0.000362
iteration:56, F2F_time[s]:0.000938, H2H_time:0.000544, sync_time:0.000395
iteration:57, F2F_time[s]:0.001020, H2H_time:0.000568, sync_time:0.000452
iteration:58, F2F_time[s]:0.000920, H2H_time:0.000459, sync_time:0.000461
iteration:59, F2F_time[s]:0.001000, H2H_time:0.000662, sync_time:0.000337
iteration:60, F2F_time[s]:0.000936, H2H_time:0.000569, sync_time:0.000367
iteration:61, F2F_time[s]:0.000876, H2H_time:0.000461, sync_time:0.000415
iteration:62, F2F_time[s]:0.001080, H2H_time:0.000662, sync_time:0.000418
iteration:63, F2F_time[s]:0.000893, H2H_time:0.000481, sync_time:0.000412
