XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/opt/tools/external/anaconda/envs/pynq-dask/bin:/opt/tools/external/anaconda/condabin:/opt/tools/Xilinx/Vitis/2020.2/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/arm/lin/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/microblaze/linux_toolchain/lin64_le/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-linux-gnueabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch32/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-linux/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/aarch64/lin/aarch64-none/bin:/opt/tools/Xilinx/Vitis/2020.2/gnu/armr5/lin/gcc-arm-none-eabi/bin:/opt/tools/Xilinx/Vitis/2020.2/tps/lnx64/cmake-3.3.2/bin:/opt/tools/Xilinx/Vitis/2020.2/aietools/bin:/opt/xilinx/xrt/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/dparravicini/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/opt/xilinx/xrt/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:/opt/xilinx/xrt/python:
XILINX_XRT        : /opt/xilinx/xrt
PATH              : /opt/xilinx/xrt/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin
LD_LIBRARY_PATH   : /opt/xilinx/xrt/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:/mnt/scratch/zhe/openmpi/openmpi-4.1.1/lib:
PYTHONPATH        : /opt/xilinx/xrt/python:
alveo2b
alveo1a
alveo4b
alveo4c
alveo3c
alveo3b
alveo1b
alveo2a
alveo4b, device on u280. Finished loading bitstream
alveo4b, bytes:2048, num_elements:512, num_trials:200
alveo2b, device on u250. Finished loading bitstream
alveo2b, bytes:2048, num_elements:512, num_trials:200
alveo1a, device on u250. Finished loading bitstream
alveo1a, bytes:2048, num_elements:512, num_trials:200
Start Gather test:
alveo3c, device on u280. Finished loading bitstream
alveo3c, bytes:2048, num_elements:512, num_trials:200
alveo4c, device on u280. Finished loading bitstream
alveo4c, bytes:2048, num_elements:512, num_trials:200
alveo3b, device on u280. Finished loading bitstream
alveo3b, bytes:2048, num_elements:512, num_trials:200
alveo1b, device on u250. Finished loading bitstream
alveo1b, bytes:2048, num_elements:512, num_trials:200
alveo2a, device on u250. Finished loading bitstream
alveo2a, bytes:2048, num_elements:512, num_trials:200
iteration:0, F2F_time[s]:0.003839, H2H_time:0.000028, sync_time:0.003811
iteration:1, F2F_time[s]:0.000534, H2H_time:0.000166, sync_time:0.000368
iteration:2, F2F_time[s]:0.000490, H2H_time:0.000214, sync_time:0.000277
iteration:3, F2F_time[s]:0.000604, H2H_time:0.000231, sync_time:0.000372
iteration:4, F2F_time[s]:0.000547, H2H_time:0.000025, sync_time:0.000521
iteration:5, F2F_time[s]:0.000451, H2H_time:0.000181, sync_time:0.000270
iteration:6, F2F_time[s]:0.000460, H2H_time:0.000021, sync_time:0.000439
iteration:7, F2F_time[s]:0.000571, H2H_time:0.000021, sync_time:0.000550
iteration:8, F2F_time[s]:0.000524, H2H_time:0.000180, sync_time:0.000344
iteration:9, F2F_time[s]:0.000587, H2H_time:0.000176, sync_time:0.000411
iteration:10, F2F_time[s]:0.000612, H2H_time:0.000007, sync_time:0.000605
iteration:11, F2F_time[s]:0.000555, H2H_time:0.000153, sync_time:0.000402
iteration:12, F2F_time[s]:0.000536, H2H_time:0.000181, sync_time:0.000356
iteration:13, F2F_time[s]:0.000543, H2H_time:0.000179, sync_time:0.000364
iteration:14, F2F_time[s]:0.000642, H2H_time:0.000020, sync_time:0.000621
iteration:15, F2F_time[s]:0.000618, H2H_time:0.000018, sync_time:0.000600
iteration:16, F2F_time[s]:0.000613, H2H_time:0.000179, sync_time:0.000434
iteration:17, F2F_time[s]:0.000594, H2H_time:0.000020, sync_time:0.000574
iteration:18, F2F_time[s]:0.000535, H2H_time:0.000166, sync_time:0.000370
iteration:19, F2F_time[s]:0.000343, H2H_time:0.000023, sync_time:0.000320
iteration:20, F2F_time[s]:0.000333, H2H_time:0.000116, sync_time:0.000217
iteration:21, F2F_time[s]:0.000383, H2H_time:0.000180, sync_time:0.000203
iteration:22, F2F_time[s]:0.000338, H2H_time:0.000177, sync_time:0.000160
iteration:23, F2F_time[s]:0.000351, H2H_time:0.000148, sync_time:0.000203
iteration:24, F2F_time[s]:0.000542, H2H_time:0.000098, sync_time:0.000444
iteration:25, F2F_time[s]:0.000377, H2H_time:0.000197, sync_time:0.000180
iteration:26, F2F_time[s]:0.000386, H2H_time:0.000106, sync_time:0.000280
iteration:27, F2F_time[s]:0.000387, H2H_time:0.000183, sync_time:0.000204
iteration:28, F2F_time[s]:0.000356, H2H_time:0.000165, sync_time:0.000191
iteration:29, F2F_time[s]:0.000535, H2H_time:0.000068, sync_time:0.000468
iteration:30, F2F_time[s]:0.000368, H2H_time:0.000096, sync_time:0.000272
iteration:31, F2F_time[s]:0.000404, H2H_time:0.000056, sync_time:0.000348
iteration:32, F2F_time[s]:0.000424, H2H_time:0.000159, sync_time:0.000265
iteration:33, F2F_time[s]:0.000506, H2H_time:0.000118, sync_time:0.000388
iteration:34, F2F_time[s]:0.000458, H2H_time:0.000059, sync_time:0.000398
iteration:35, F2F_time[s]:0.000351, H2H_time:0.000190, sync_time:0.000161
iteration:36, F2F_time[s]:0.000452, H2H_time:0.000020, sync_time:0.000431
iteration:37, F2F_time[s]:0.000432, H2H_time:0.000075, sync_time:0.000357
iteration:38, F2F_time[s]:0.000364, H2H_time:0.000146, sync_time:0.000218
iteration:39, F2F_time[s]:0.000344, H2H_time:0.000113, sync_time:0.000231
iteration:40, F2F_time[s]:0.000429, H2H_time:0.000122, sync_time:0.000307
iteration:41, F2F_time[s]:0.000457, H2H_time:0.000099, sync_time:0.000359
iteration:42, F2F_time[s]:0.000360, H2H_time:0.000173, sync_time:0.000187
iteration:43, F2F_time[s]:0.000506, H2H_time:0.000089, sync_time:0.000417
iteration:44, F2F_time[s]:0.000505, H2H_time:0.000128, sync_time:0.000378
iteration:45, F2F_time[s]:0.000407, H2H_time:0.000099, sync_time:0.000308
iteration:46, F2F_time[s]:0.000326, H2H_time:0.000006, sync_time:0.000320
iteration:47, F2F_time[s]:0.000317, H2H_time:0.000006, sync_time:0.000311
iteration:48, F2F_time[s]:0.000388, H2H_time:0.000016, sync_time:0.000372
iteration:49, F2F_time[s]:0.000327, H2H_time:0.000107, sync_time:0.000220
iteration:50, F2F_time[s]:0.000393, H2H_time:0.000199, sync_time:0.000194
iteration:51, F2F_time[s]:0.000439, H2H_time:0.000100, sync_time:0.000338
iteration:52, F2F_time[s]:0.000532, H2H_time:0.000121, sync_time:0.000411
iteration:53, F2F_time[s]:0.000405, H2H_time:0.000059, sync_time:0.000347
iteration:54, F2F_time[s]:0.000419, H2H_time:0.000117, sync_time:0.000302
iteration:55, F2F_time[s]:0.000346, H2H_time:0.000189, sync_time:0.000157
iteration:56, F2F_time[s]:0.000503, H2H_time:0.000006, sync_time:0.000497
iteration:57, F2F_time[s]:0.000389, H2H_time:0.000133, sync_time:0.000257
iteration:58, F2F_time[s]:0.000530, H2H_time:0.000108, sync_time:0.000422
iteration:59, F2F_time[s]:0.000545, H2H_time:0.000157, sync_time:0.000389
iteration:60, F2F_time[s]:0.000430, H2H_time:0.000166, sync_time:0.000264
iteration:61, F2F_time[s]:0.000532, H2H_time:0.000070, sync_time:0.000462
iteration:62, F2F_time[s]:0.000413, H2H_time:0.000053, sync_time:0.000360
iteration:63, F2F_time[s]:0.000438, H2H_time:0.000150, sync_time:0.000288
iteration:64, F2F_time[s]:0.000357, H2H_time:0.000126, sync_time:0.000231
iteration:65, F2F_time[s]:0.000415, H2H_time:0.000060, sync_time:0.000355
iteration:66, F2F_time[s]:0.000330, H2H_time:0.000145, sync_time:0.000185
iteration:67, F2F_time[s]:0.000313, H2H_time:0.000131, sync_time:0.000182
iteration:68, F2F_time[s]:0.000376, H2H_time:0.000120, sync_time:0.000256
iteration:69, F2F_time[s]:0.000407, H2H_time:0.000096, sync_time:0.000311
iteration:70, F2F_time[s]:0.000423, H2H_time:0.000120, sync_time:0.000303
iteration:71, F2F_time[s]:0.000409, H2H_time:0.000024, sync_time:0.000385
iteration:72, F2F_time[s]:0.000324, H2H_time:0.000128, sync_time:0.000197
iteration:73, F2F_time[s]:0.000449, H2H_time:0.000125, sync_time:0.000324
iteration:74, F2F_time[s]:0.000428, H2H_time:0.000089, sync_time:0.000339
iteration:75, F2F_time[s]:0.000426, H2H_time:0.000085, sync_time:0.000340
iteration:76, F2F_time[s]:0.000407, H2H_time:0.000086, sync_time:0.000320
iteration:77, F2F_time[s]:0.000508, H2H_time:0.000082, sync_time:0.000427
iteration:78, F2F_time[s]:0.000430, H2H_time:0.000061, sync_time:0.000368
iteration:79, F2F_time[s]:0.000335, H2H_time:0.000145, sync_time:0.000189
iteration:80, F2F_time[s]:0.000504, H2H_time:0.000089, sync_time:0.000415
iteration:81, F2F_time[s]:0.000437, H2H_time:0.000055, sync_time:0.000382
iteration:82, F2F_time[s]:0.000373, H2H_time:0.000016, sync_time:0.000358
iteration:83, F2F_time[s]:0.000373, H2H_time:0.000061, sync_time:0.000313
iteration:84, F2F_time[s]:0.000435, H2H_time:0.000108, sync_time:0.000327
iteration:85, F2F_time[s]:0.000432, H2H_time:0.000122, sync_time:0.000310
iteration:86, F2F_time[s]:0.000302, H2H_time:0.000069, sync_time:0.000232
iteration:87, F2F_time[s]:0.000420, H2H_time:0.000061, sync_time:0.000359
iteration:88, F2F_time[s]:0.000419, H2H_time:0.000074, sync_time:0.000345
iteration:89, F2F_time[s]:0.000413, H2H_time:0.000088, sync_time:0.000326
iteration:90, F2F_time[s]:0.000387, H2H_time:0.000124, sync_time:0.000263
iteration:91, F2F_time[s]:0.000310, H2H_time:0.000128, sync_time:0.000182
iteration:92, F2F_time[s]:0.000319, H2H_time:0.000080, sync_time:0.000239
iteration:93, F2F_time[s]:0.000411, H2H_time:0.000099, sync_time:0.000311
iteration:94, F2F_time[s]:0.000382, H2H_time:0.000120, sync_time:0.000262
iteration:95, F2F_time[s]:0.000377, H2H_time:0.000126, sync_time:0.000251
iteration:96, F2F_time[s]:0.000404, H2H_time:0.000020, sync_time:0.000384
iteration:97, F2F_time[s]:0.000470, H2H_time:0.000092, sync_time:0.000378
iteration:98, F2F_time[s]:0.000320, H2H_time:0.000094, sync_time:0.000227
iteration:99, F2F_time[s]:0.000329, H2H_time:0.000122, sync_time:0.000207
iteration:100, F2F_time[s]:0.000382, H2H_time:0.000123, sync_time:0.000259
iteration:101, F2F_time[s]:0.000443, H2H_time:0.000119, sync_time:0.000324
iteration:102, F2F_time[s]:0.000361, H2H_time:0.000142, sync_time:0.000219
iteration:103, F2F_time[s]:0.000455, H2H_time:0.000098, sync_time:0.000357
iteration:104, F2F_time[s]:0.000452, H2H_time:0.000091, sync_time:0.000361
iteration:105, F2F_time[s]:0.000400, H2H_time:0.000079, sync_time:0.000321
iteration:106, F2F_time[s]:0.000387, H2H_time:0.000130, sync_time:0.000257
iteration:107, F2F_time[s]:0.000304, H2H_time:0.000121, sync_time:0.000183
iteration:108, F2F_time[s]:0.000301, H2H_time:0.000124, sync_time:0.000177
iteration:109, F2F_time[s]:0.000348, H2H_time:0.000111, sync_time:0.000236
iteration:110, F2F_time[s]:0.000435, H2H_time:0.000118, sync_time:0.000317
iteration:111, F2F_time[s]:0.000354, H2H_time:0.000113, sync_time:0.000241
iteration:112, F2F_time[s]:0.000414, H2H_time:0.000084, sync_time:0.000330
iteration:113, F2F_time[s]:0.000465, H2H_time:0.000056, sync_time:0.000409
iteration:114, F2F_time[s]:0.000381, H2H_time:0.000124, sync_time:0.000256
iteration:115, F2F_time[s]:0.000489, H2H_time:0.000052, sync_time:0.000437
iteration:116, F2F_time[s]:0.000346, H2H_time:0.000129, sync_time:0.000217
iteration:117, F2F_time[s]:0.000307, H2H_time:0.000121, sync_time:0.000185
iteration:118, F2F_time[s]:0.000385, H2H_time:0.000128, sync_time:0.000256
iteration:119, F2F_time[s]:0.000391, H2H_time:0.000066, sync_time:0.000325
iteration:120, F2F_time[s]:0.000363, H2H_time:0.000076, sync_time:0.000287
iteration:121, F2F_time[s]:0.000453, H2H_time:0.000087, sync_time:0.000366
iteration:122, F2F_time[s]:0.000350, H2H_time:0.000098, sync_time:0.000252
iteration:123, F2F_time[s]:0.000403, H2H_time:0.000032, sync_time:0.000371
iteration:124, F2F_time[s]:0.000410, H2H_time:0.000087, sync_time:0.000323
iteration:125, F2F_time[s]:0.000321, H2H_time:0.000151, sync_time:0.000170
iteration:126, F2F_time[s]:0.000514, H2H_time:0.000052, sync_time:0.000463
iteration:127, F2F_time[s]:0.000438, H2H_time:0.000083, sync_time:0.000355
iteration:128, F2F_time[s]:0.000386, H2H_time:0.000127, sync_time:0.000259
iteration:129, F2F_time[s]:0.000326, H2H_time:0.000067, sync_time:0.000259
iteration:130, F2F_time[s]:0.000411, H2H_time:0.000093, sync_time:0.000318
iteration:131, F2F_time[s]:0.000407, H2H_time:0.000091, sync_time:0.000316
iteration:132, F2F_time[s]:0.000371, H2H_time:0.000129, sync_time:0.000242
iteration:133, F2F_time[s]:0.000310, H2H_time:0.000067, sync_time:0.000243
iteration:134, F2F_time[s]:0.000385, H2H_time:0.000125, sync_time:0.000261
iteration:135, F2F_time[s]:0.000299, H2H_time:0.000068, sync_time:0.000230
iteration:136, F2F_time[s]:0.000406, H2H_time:0.000088, sync_time:0.000318
iteration:137, F2F_time[s]:0.000469, H2H_time:0.000133, sync_time:0.000336
iteration:138, F2F_time[s]:0.000386, H2H_time:0.000049, sync_time:0.000337
iteration:139, F2F_time[s]:0.000353, H2H_time:0.000054, sync_time:0.000300
iteration:140, F2F_time[s]:0.000414, H2H_time:0.000090, sync_time:0.000324
iteration:141, F2F_time[s]:0.000395, H2H_time:0.000132, sync_time:0.000263
iteration:142, F2F_time[s]:0.000378, H2H_time:0.000126, sync_time:0.000252
iteration:143, F2F_time[s]:0.000436, H2H_time:0.000119, sync_time:0.000317
iteration:144, F2F_time[s]:0.000366, H2H_time:0.000137, sync_time:0.000229
iteration:145, F2F_time[s]:0.000474, H2H_time:0.000065, sync_time:0.000409
