experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,1,128,Allreduce,697.9859999773907,48.073216369793805,1210.5890000384534,27.717443326293374
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,1,128,Allreduce,664.2140001531516,50.517501877803184,1053.9960003370652,31.83544528562668
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,1,128,Allreduce,566.2080002366565,59.261670598040546,1054.80100000932,31.811149211750386
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,1,128,Allreduce,572.9479998990428,58.564532917319745,1062.037000338023,31.594409600908783
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,1,128,Allreduce,595.5619999440387,56.34078736244573,1018.2689998146088,32.952424168966246
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,1,128,Allreduce,616.9279999994615,54.38954302613804,1007.119999940187,33.317213442283744
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,1,128,Allreduce,535.2879998099525,62.684820156463616,1029.9420000592363,32.57895298771207
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,1,128,Allreduce,675.0570000804146,49.706072222053706,1068.4760000003735,31.40401094642114
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,1,128,Allreduce,637.7039999279077,52.617565522238095,932.981000005384,35.96475383722323
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,1,128,Allreduce,753.4989999840036,44.53148843025982,986.7079998002737,34.006445682807865
experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,2,128,Allreduce,658.3419999515172,101.93617299965997,1081.8680002557812,62.030547150053195
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,2,128,Allreduce,589.9570001020038,113.75212767777457,932.0059998572106,72.00475534522472
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,2,128,Allreduce,631.379999958881,106.28918243271961,1126.5190000813163,59.57188826389598
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,2,128,Allreduce,650.9519998871838,103.0934139715841,1091.4259996752662,61.4873239413089
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,2,128,Allreduce,720.39999986373,93.15500279385651,897.8880000540812,74.7407961749772
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,2,128,Allreduce,587.1359999218839,114.29867016999223,938.1310001117527,71.53464067598856
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,2,128,Allreduce,634.9740001496684,105.68757773417795,1052.3769997234922,63.76884331150584
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,2,128,Allreduce,580.1840002277459,115.66824313262178,1067.2940002223186,62.87758011009257
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,2,128,Allreduce,584.4060001436446,114.83260607095909,961.8970002520655,69.76720374677757
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,2,128,Allreduce,591.3529998906597,113.48359442229655,863.6439997644629,77.70431337252647
experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,4,128,Allreduce,720.755000202189,186.21824054269305,1128.0460003035842,118.98249536267032
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,4,128,Allreduce,642.0290001187823,209.05243840257725,1034.310000250116,129.76547453620634
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,4,128,Allreduce,745.0299999618437,180.15076977688668,1088.9909999605152,123.2496209838892
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,4,128,Allreduce,566.0830001943395,237.0990260331476,1138.1550002624863,117.92570253528396
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,4,128,Allreduce,588.7370002710668,227.97569702295485,1164.5470003713854,115.25316535717035
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,4,128,Allreduce,600.1920000926475,223.62465340971178,1057.634000062535,126.90375686869378
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,4,128,Allreduce,646.7580001299211,207.52387751375053,994.6449999915785,134.94033348695908
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,4,128,Allreduce,585.2819999745407,229.3214689770715,1103.858000078617,121.58966822765338
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,4,128,Allreduce,671.2599997626967,199.94894384805968,948.0290000283276,141.57555095465383
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,4,128,Allreduce,587.4869998478971,228.46076259517156,1112.538000143104,120.641027976335
experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,8,128,Allreduce,636.6110001181369,421.663238539997,1065.463000031741,251.94254140406852
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,8,128,Allreduce,684.2289999440254,392.3181508266382,986.9629998320306,271.98127594011584
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,8,128,Allreduce,606.0890000298969,442.89775261844176,1051.5799999666342,255.26869663603077
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,8,128,Allreduce,625.1900003917399,429.36620200547054,1177.8419998336176,227.90446939226084
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,8,128,Allreduce,648.5580001935887,413.8958364862888,878.5019999777433,305.56043811715944
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,8,128,Allreduce,688.6869996378664,389.7786020952217,1058.3349999251368,253.63940153069515
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,8,128,Allreduce,656.6100000782171,408.82023723065936,1038.017000155378,258.60410374764444
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,8,128,Allreduce,610.0950004110928,439.9896013229472,1004.7179998764477,267.17492473809574
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,8,128,Allreduce,626.3929999477114,428.54159612640603,1046.2300001563563,256.5740381750505
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,8,128,Allreduce,600.8830000610033,446.73498163993276,917.3449998343131,292.62213894280086
experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,16,128,Allreduce,562.9510001199378,953.672543233103,1021.485000364919,525.5788502114141
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,16,128,Allreduce,641.2539996745181,837.2203717598644,1013.6820001207525,529.6245883186705
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,16,128,Allreduce,619.0079998305009,867.3085196750413,1024.478000090312,524.0433781425005
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,16,128,Allreduce,544.6760001177609,985.6702184122793,1014.6849999728147,529.1010629056149
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,16,128,Allreduce,599.7379998916585,895.175746904456,1057.4160000942356,507.71967887014637
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,16,128,Allreduce,576.5900000369584,931.1138104469164,991.4510001181043,541.5001971212359
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,16,128,Allreduce,690.172000304301,777.8798788755416,974.1630001371959,551.1099394294281
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,16,128,Allreduce,681.1450002714992,788.1888757694873,945.9640000386571,567.5384179292876
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,16,128,Allreduce,634.4989997160155,846.1335829375441,1161.1710001488973,462.3530142684901
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,16,128,Allreduce,621.8660000740783,863.3225034590193,1030.8229998372553,520.8177466788773
experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Allreduce,682.5300000059542,49.16184196988745,1602.2140000018226,20.9425407592006
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Allreduce,710.9690000106639,47.19535169535762,1076.9789999898194,31.156068967284586
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Allreduce,650.7180000028256,51.565243315621046,1051.727000003666,31.904127211608177
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Allreduce,682.4249999937138,49.16940616230222,1054.899000010323,31.80819395948962
